 Brand,Model,Ex-Showroom_Price(Rs.),Cylinders,Emission_Norm(BS),Fuel Capacity,Fuel_Type,Body_Type,ARAI Certified Mileage,Seating_Capacity,Type,Wheelbase,Boot_Space
Maserati,Grancabrio,19865675,8,4,75,Petrol,Convertible,9.8,4,Automatic,2942,173
Maserati,Granturismo,17229579,8,4,86,Petrol,Coupe,10,4,Automatic,2942,261
Mercedes-Benz, A-Class,2886871,4,4,50,Diesel,Hatchback,15.5,5,Automatic,2699,341
Mercedes-Benz, Gla-Class,8067000,4,4,50,Petrol,SUV,13.8,5,Automatic,2699,421
Mercedes-Benz, C-Class,4654000,4,6,66,Petrol,Sedan,12.06,5,Automatic,2840,480
Mercedes-Benz,Glc,5775000,4,6,50,Diesel,SUV,18.18,5,Automatic,2873,580
Mercedes-Benz, E-Class,6250000,6,4,80,Diesel,Sedan,142,5,Automatic,3079,540
Mercedes-Benz, Gle,12500000,6,6,93,Diesel,SUV,11,5,Automatic,2915,825
Mercedes-Benz, E-Class All Terrain,7500000,6,6,80,Diesel,SUV,12.06,5,Automatic,3079,540
Mercedes-Benz, Cls,8470000,4,6,45,Diesel,Sedan,11,5,Automatic,2480,420
Mercedes-Benz, Maybach,19890000,8,4,80,Petrol,Sedan,7.8,4,Automatic,3165,530
Mercedes-Benz, S-Class Cabriolet,23491293,8,4,80,Petrol,Convertible,7.8,4,Automatic,2945,530
Mercedes-Benz, B-Class,3303282,4,4,50,Diesel,MPV,15,5,Automatic,2699,488
Mercedes-Benz,z E-Class Cabriolet,7711338,6,4,80,Petrol,Convertible,10,4,Automatic,2760,540
Mercedes-Benz,Amg-Gt,21583466,8,4,75,Petrol,Coupe,7.8,2,Automatic,2630,350
Mercedes-Benz, Amg Gt 4-Door Coupe,24200000,8,6,65,Petrol,Coupe,11,4,Automatic,2951,420
Mercedes-Benz, Cla-Class,3599000,4,4,56,Petrol,Sedan,15.04,5,Automatic,2699,470
Mercedes-Benz, C-Class Cabriolet,6426497,4,6,60,Petrol,Convertible,14.5,4,Automatic,2840,420
Mercedes-Benz, Gls,8820000,6,4,100,Diesel,SUV,11.6,5,Automatic,3075,420
Mercedes-Benz, G-Class,15000000,6,6,100,Diesel,SUV,SUV,7,Automatic,2890,420
Mercedes-Benz ,V-Class,6840000,4,6,93,Diesel,MUV,11,7,Automatic,3430,420
Mercedes-Benz ,S-Class,13558438,6,4,90,Diesel,Sedan,13.5,5,Automatic,3035,530
Mg,Zs Ev,2358000,3,6,45,Electric,SUV,11,5,Automatic,2585,448
Mg,Hector,1248000,4,4,45,Petrol,SUV,14.16,5,Manual,2750,420
Mini,Cooper 3 Door,3420000,4,4,44,Petrol,Hatchback,15.75,5,Automatic,2480,211
Mini,Countryman,4240000,4,4,47,Petrol,Hatchback,14.41,5,Automatic,2670,350
Mini,Convertible,3830000,4,4,44,Petrol,Convertible,14.59,4,Automatic,2650,215
Mini,Clubman,4120000,4,4,45,Petrol,Hatchback,13.8,5,Manual,2670,360
